,LINK_ID,HOUR,SPEED
983,4130024700,10,9.0
984,4130024700,12,43.0
985,4130024700,16,39.0
986,4130024700,17,56.0
987,4130024900,0,49.0
988,4130024900,1,49.0
989,4130024900,2,47.1
990,4130024900,3,46.8
991,4130024900,4,46.6
992,4130024900,5,45.3
993,4130024900,6,42.2
994,4130024900,7,39.6
995,4130024900,8,38.2
996,4130024900,9,35.7
997,4130024900,10,34.0
998,4130024900,11,34.1
999,4130024900,12,31.0
1000,4130024900,13,33.333333333333336
1001,4130024900,14,33.6
1002,4130024900,15,31.5
1003,4130024900,16,27.9
1004,4130024900,17,32.7
1005,4130024900,18,37.8
1006,4130024900,19,38.3
1007,4130024900,20,37.6
1008,4130024900,21,38.6
1009,4130024900,22,38.2
1010,4130024900,23,38.6
1011,4130025000,0,35.0
1012,4130025000,1,35.0
1013,4130025000,2,35.0
1014,4130025000,3,35.0
1015,4130025000,4,35.0
1016,4130025000,5,35.0
1017,4130025000,6,34.9
1018,4130025000,7,33.4
1019,4130025000,8,32.9
